Subject	Predicate	Object
Customer1984	refers_family_or_friend	Brand1
Customer1674	follows	Brand1
Customer111	follows	Brand1
Customer1680	participate_in_polls	Brand1
Customer660	follows	Brand1
Customer1392	follows	Brand1
Customer973	refers_family_or_friend	Brand1
Customer573	follows	Brand1
Customer1559	follows	Brand1
Customer361	follows	Brand1
Advocate750	follows	Brand1
Customer1701	follows	Brand1
Customer1414	follows	Brand1
Customer1999	follows	Brand1
Customer224	uses_brand_hashtag	Brand1
Advocate70	shares	Brand1
Customer201	mentioned	Brand1
Customer1445	uses_brand_hashtag	Brand1
Customer1017	refers_family_or_friend	Brand1
Customer100	follows	Brand1
Customer811	follows	Brand1
Customer1248	follows	Brand1
Customer23	mentioned	Brand1
Customer695	follows	Brand1
Customer425	follows	Brand1
Customer1090	follows	Brand1
Customer1787	refers_family_or_friend	Brand1
Customer1998	follows	Brand1
Customer1472	follows	Brand1
Customer1808	refers_family_or_friend	Brand1
Customer1746	follows	Brand1
Customer967	follows	Brand1
Customer1311	follows	Brand1
Customer45	mentioned	Brand1
Advocate73	follows	Brand1
Customer820	follows	Brand1
Customer118	attends_event	Brand1
Advocate766	follows	Brand1
Customer1909	follows	Brand1
Customer173	uses_brand_hashtag	Brand1
Customer821	follows	Brand1
Customer696	follows	Brand1
Customer879	refers_family_or_friend	Brand1
Customer413	follows	Brand1
Customer327	follows	Brand1
Customer287	follows	Brand1
Customer18	mentioned	Brand1
Customer298	attends_event	Brand1
Customer1380	follows	Brand1
Customer412	follows	Brand1
Advocate73	attends_event	Brand1
Customer1441	follows	Brand1
Customer1742	refers_family_or_friend	Brand1
Customer240	uses_brand_hashtag	Brand1
Customer573	attends_event	Brand1
Customer56	uses_brand_hashtag	Brand1
Customer1139	follows	Brand1
Customer314	follows	Brand1
Customer1608	follows	Brand1
Customer245	uses_brand_hashtag	Brand1
Customer1233	follows	Brand1
Customer1497	refers_family_or_friend	Brand1
Customer1615	follows	Brand1
Customer396	follows	Brand1
Customer1321	follows	Brand1
Customer183	uses_brand_hashtag	Brand1
Customer1882	follows	Brand1
Customer295	attends_event	Brand1
Customer1201	follows	Brand1
Customer1283	follows	Brand1
Customer1029	follows	Brand1
Customer878	follows	Brand1
Customer62	shares	Brand1
Customer1095	follows	Brand1
Customer174	uses_brand_hashtag	Brand1
Customer1041	follows	Brand1
Customer310	follows	Brand1
Customer1816	follows	Brand1
Advocate799	follows	Brand1
Customer81	participate_in_polls	Brand1
Customer1160	follows	Brand1
Customer66	shares	Brand1
Customer1688	follows	Brand1
Customer862	refers_family_or_friend	Brand1
Customer1143	follows	Brand1
Customer265	uses_brand_hashtag	Brand1
Customer351	follows	Brand1
Customer1844	follows	Brand1
Customer646	uses_brand_hashtag	Brand1
Customer690	follows	Brand1
Customer1642	follows	Brand1
Customer1487	follows	Brand1
Customer427	follows	Brand1
Customer83	attends_event	Brand1
Customer348	attends_event	Brand1
Customer1567	follows	Brand1
Customer1527	follows	Brand1
Customer972	follows	Brand1
Customer429	attends_event	Brand1
Customer1140	follows	Brand1
Customer1824	follows	Brand1
Customer1941	follows	Brand1
Advocate72	attends_event	Brand1
Customer517	follows	Brand1
Customer1711	follows	Brand1
Customer693	follows	Brand1
Customer1022	follows	Brand1
Customer307	attends_event	Brand1
Customer1591	follows	Brand1
Customer1679	follows	Brand1
Customer367	follows	Brand1
Customer1717	follows	Brand1
Customer1655	refers_family_or_friend	Brand1
Customer1187	follows	Brand1
Customer260	shares	Brand1
Customer1530	follows	Brand1
Customer1751	follows	Brand1
Customer1314	refers_family_or_friend	Brand1
Customer999	follows	Brand1
Customer1727	follows	Brand1
Customer1499	refers_family_or_friend	Brand1
Customer60	mentioned	Brand1
Customer1161	refers_family_or_friend	Brand1
Advocate70	uses_brand_hashtag	Brand1
Customer136	uses_brand_hashtag	Brand1
Customer350	attends_event	Brand1
Customer22	shares	Brand1
Customer359	follows	Brand1
Customer1350	follows	Brand1
Customer1617	follows	Brand1
Advocate710	recommends	Brand1
Customer81	attends_event	Brand1
Customer400	attends_event	Brand1
Customer1415	follows	Brand1
Advocate718	attends_event	Brand1
Customer1960	follows	Brand1
Customer1644	follows	Brand1
Customer306	attends_event	Brand1
Advocate757	follows	Brand1
Customer1500	refers_family_or_friend	Brand1
Customer874	follows	Brand1
Customer276	attends_event	Brand1
Customer463	shares	Brand1
Customer453	recommends	Brand1
Customer21	uses_brand_hashtag	Brand1
Advocate701	recommends	Brand1
Advocate748	recommends	Brand1
Customer25	shares	Brand1
Customer1810	refers_family_or_friend	Brand1
Customer339	attends_event	Brand1
Customer90	follows	Brand1
Customer1133	refers_family_or_friend	Brand1
Advocate7	attends_event	Brand1
Customer398	follows	Brand1
Customer3	attends_event	Brand1
Customer1582	refers_family_or_friend	Brand1
Customer171	uses_brand_hashtag	Brand1
Customer1052	follows	Brand1
Customer1450	follows	Brand1
Customer1988	follows	Brand1
Customer1597	follows	Brand1
Customer1649	follows	Brand1
Customer1452	follows	Brand1
Customer338	follows	Brand1
Customer440	attends_event	Brand1
Customer803	follows	Brand1
Customer1515	refers_family_or_friend	Brand1
Customer1782	follows	Brand1
Customer364	follows	Brand1
Customer1628	refers_family_or_friend	Brand1
Customer1694	follows	Brand1
Customer831	follows	Brand1
Customer1172	follows	Brand1
Customer1211	follows	Brand1
Customer990	follows	Brand1
Customer1037	refers_family_or_friend	Brand1
Customer1313	follows	Brand1
Customer88	follows	Brand1
Customer1050	follows	Brand1
Customer1120	follows	Brand1
Customer1477	follows	Brand1
Customer1716	follows	Brand1
Customer1387	refers_family_or_friend	Brand1
Customer627	follows	Brand1
Customer367	attends_event	Brand1
Advocate738	participate_in_polls	Brand1
Customer1565	follows	Brand1
Customer898	follows	Brand1
Customer1275	follows	Brand1
Customer342	attends_event	Brand1
Customer1637	refers_family_or_friend	Brand1
Customer1364	follows	Brand1
Customer45	uses_brand_hashtag	Brand1
Customer57	uses_brand_hashtag	Brand1
Customer68	uses_brand_hashtag	Brand1
Customer1435	follows	Brand1
Customer883	refers_family_or_friend	Brand1
Advocate785	follows	Brand1
Customer1245	follows	Brand1
Customer232	uses_brand_hashtag	Brand1
Customer1920	refers_family_or_friend	Brand1
Customer384	follows	Brand1
Customer1322	follows	Brand1
Customer84	follows	Brand1
Customer1433	follows	Brand1
Customer34	participate_in_polls	Brand1
Customer1706	follows	Brand1
Customer1265	follows	Brand1
Advocate796	refers_family_or_friend	Brand1
Customer1667	follows	Brand1
Customer1448	follows	Brand1
Customer1734	follows	Brand1
Customer1635	refers_family_or_friend	Brand1
Customer1827	follows	Brand1
Customer1875	follows	Brand1
Customer1891	refers_family_or_friend	Brand1
Customer970	follows	Brand1
Customer1911	follows	Brand1
Customer1995	follows	Brand1
Customer356	follows	Brand1
Customer1702	follows	Brand1
Customer1852	follows	Brand1
Customer172	uses_brand_hashtag	Brand1
Customer1345	follows	Brand1
Customer904	refers_family_or_friend	Brand1
Customer1592	follows	Brand1
Customer1792	follows	Brand1
Customer975	refers_family_or_friend	Brand1
Customer271	mentioned	Brand1
Customer360	follows	Brand1
Customer1539	refers_family_or_friend	Brand1
Customer1843	follows	Brand1
Customer1003	follows	Brand1
Customer674	mentioned	Brand1
Customer311	follows	Brand1
Customer147	shares	Brand1
Customer91	attends_event	Brand1
Customer288	participate_in_polls	Brand1
Customer1097	follows	Brand1
Customer417	follows	Brand1
Customer1907	follows	Brand1
Customer44	mentioned	Brand1
Customer1479	follows	Brand1
Customer309	attends_event	Brand1
Customer1893	follows	Brand1
Customer885	follows	Brand1
Customer1974	follows	Brand1
Customer107	follows	Brand1
Customer104	follows	Brand1
Customer1288	follows	Brand1
Customer808	follows	Brand1
Customer1779	follows	Brand1
Customer1169	follows	Brand1
Customer113	follows	Brand1
Customer1332	refers_family_or_friend	Brand1
Customer137	uses_brand_hashtag	Brand1
Customer869	refers_family_or_friend	Brand1
Customer1357	follows	Brand1
Customer969	follows	Brand1
Customer1532	follows	Brand1
Customer395	follows	Brand1
Customer123	follows	Brand1
Customer1303	follows	Brand1
Customer1837	follows	Brand1
Customer1945	follows	Brand1
Customer1207	follows	Brand1
Customer1814	follows	Brand1
Customer1385	follows	Brand1
Customer1296	follows	Brand1
Customer1534	follows	Brand1
Customer1044	follows	Brand1
Customer958	follows	Brand1
Customer865	follows	Brand1
Customer392	recommends	Brand1
Customer1660	refers_family_or_friend	Brand1
Customer1993	follows	Brand1
Customer698	attends_event	Brand1
Customer44	uses_brand_hashtag	Brand1
Customer1354	follows	Brand1
Customer1168	follows	Brand1
Advocate744	follows	Brand1
Customer1167	follows	Brand1
Customer851	follows	Brand1
Customer24	uses_brand_hashtag	Brand1
Customer423	follows	Brand1
Customer1856	follows	Brand1
Customer994	follows	Brand1
Customer1985	follows	Brand1
Customer178	uses_brand_hashtag	Brand1
Customer1026	follows	Brand1
Customer220	uses_brand_hashtag	Brand1
Customer569	follows	Brand1
Customer1803	follows	Brand1
Customer402	follows	Brand1
Customer835	attends_event	Brand1
Customer1421	refers_family_or_friend	Brand1
Customer1662	refers_family_or_friend	Brand1
Customer1107	follows	Brand1
Customer393	attends_event	Brand1
Customer1361	follows	Brand1
Customer894	follows	Brand1
Customer369	follows	Brand1
Customer1256	follows	Brand1
Customer97	attends_event	Brand1
Customer1220	follows	Brand1
Customer1605	follows	Brand1
Customer124	uses_brand_hashtag	Brand1
Customer1836	follows	Brand1
Customer34	follows	Brand1
Customer1898	follows	Brand1
Customer1991	follows	Brand1
Customer1114	refers_family_or_friend	Brand1
Customer892	follows	Brand1
Customer1673	follows	Brand1
Customer1271	refers_family_or_friend	Brand1
Advocate710	follows	Brand1
Advocate784	recommends	Brand1
Customer1773	follows	Brand1
Customer1408	follows	Brand1
Customer817	follows	Brand1
Customer1255	follows	Brand1
Customer1186	follows	Brand1
Customer52	uses_brand_hashtag	Brand1
Customer69	uses_brand_hashtag	Brand1
Customer305	follows	Brand1
Customer1546	follows	Brand1
Customer36	attends_event	Brand1
Customer276	follows	Brand1
Customer1538	participate_in_polls	Brand1
Customer415	follows	Brand1
Customer1545	refers_family_or_friend	Brand1
Customer1700	follows	Brand1
Customer928	refers_family_or_friend	Brand1
Customer373	attends_event	Brand1
Customer1735	follows	Brand1
Customer1929	follows	Brand1
Customer85	attends_event	Brand1
Advocate736	follows	Brand1
Customer1677	follows	Brand1
Advocate778	follows	Brand1
Customer98	follows	Brand1
Customer1489	follows	Brand1
Customer1989	follows	Brand1
Customer357	refers_family_or_friend	Brand1
Customer274	uses_brand_hashtag	Brand1
Customer29	recommends	Brand1
Customer1293	follows	Brand1
Advocate714	recommends	Brand1
Customer127	uses_brand_hashtag	Brand1
Customer1326	refers_family_or_friend	Brand1
Customer1085	follows	Brand1
Customer195	uses_brand_hashtag	Brand1
Customer813	refers_family_or_friend	Brand1
Customer207	shares	Brand1
Customer157	uses_brand_hashtag	Brand1
Customer814	follows	Brand1
Customer1336	follows	Brand1
Customer273	shares	Brand1
Customer456	follows	Brand1
Customer875	follows	Brand1
Customer27	participate_in_polls	Brand1
Customer401	attends_event	Brand1
Customer276	participate_in_polls	Brand1
Advocate732	follows	Brand1
Advocate725	attends_event	Brand1
Customer1386	follows	Brand1
Customer1134	follows	Brand1
Customer1881	follows	Brand1
Customer302	attends_event	Brand1
Customer1144	follows	Brand1
Customer308	follows	Brand1
Customer1165	follows	Brand1
Customer997	follows	Brand1
Customer801	refers_family_or_friend	Brand1
Customer169	uses_brand_hashtag	Brand1
Customer1308	follows	Brand1
Customer1274	follows	Brand1
Customer185	follows	Brand1
Customer1108	follows	Brand1
Customer1419	follows	Brand1
Advocate719	follows	Brand1
Customer1506	refers_family_or_friend	Brand1
Customer202	attends_event	Brand1
Customer1278	follows	Brand1
Customer409	follows	Brand1
Advocate746	follows	Brand1
Customer146	uses_brand_hashtag	Brand1
Customer344	recommends	Brand1
Customer1249	follows	Brand1
Customer1163	follows	Brand1
Customer1951	follows	Brand1
Customer1633	follows	Brand1
Customer18	shares	Brand1
Advocate721	follows	Brand1
Customer896	follows	Brand1
